Year,Tax Receipts
1948,43.3
1949,43.6
1950,43.1
1951,41.4
1952,40.2
1953,38.2
1954,37.7
1955,36.2
1956,35.9
1957,35.5
1958,35.9
1959,34.0
1960,33.7
1961,35.5
1962,35.6
1963,35.0
1964,35.5
1965,37.3
1966,37.9
1967,39.4
1968,41.0
1969,41.9
1970,40.1
1971,38.5
1972,36.0
1973,36.2
1974,39.0
1975,40.1
1976,40.2
1977,38.4
1978,37.0
1979,37.3
1980,38.6
1981,41.0
1982,40.7
1983,39.6
1984,39.3
1985,38.2
1986,37.3
1987,36.1
1988,35.4
1989,34.6
1990,33.8
1991,33.3
1992,31.9
1993,31.1
1994,32.1
1995,33.1
1996,32.3
1997,33.8
1998,34.4
1999,35.2
2000,35.9
2001,35.1
2002,33.9
2003,34.7
2004,35.5
2005,35.8
2006,36.0
2007,36.3
2008,35.2
2009,35.2
2010,36.3
2011,36.7
2012,35.9
2013,35.8
2014,35.7
2015,36.0
2016,36.6
